topic,low_rating_share,high_rating_share,gap
location,0.14603174603174604,0.21463208939489775,-0.06860034336315171
service,0.22857142857142856,0.25574530887623864,-0.027173880304810077
breakfast,0.0746031746031746,0.0938224752266498,-0.019219300623475197
parking,0.03333333333333333,0.03731815306767868,-0.003984819734345349
listing_accuracy,0.012698412698412698,0.001265022137887413,0.011433390560525286
wifi,0.022222222222222223,0.006746784735399536,0.015475437486822688
value,0.06666666666666667,0.040059034366434744,0.026607632300231922
checkin,0.05873015873015873,0.030571368332279147,0.028158790397879583
noise,0.09682539682539683,0.04680581910183428,0.050019577723562546
cleanliness,0.26666666666666666,0.18659076533839342,0.08007590132827325
