scenario,sensitivity,annual_invites,affected_booking_base_share,weekly_payout,annual_prize_face_value,completed_reviews,additional_reviews,final_entries_per_completion,additional_info_units,expected_value_per_entry,guaranteed_equivalent_reward,bps_from_more_reviews,bps_from_better_reviews,total_uplift_bps,incremental_gross_bookings,incremental_revenue,incremental_ebitda,economic_cost,net_incremental_ebitda
Universal sweepstakes,Base,1000000,0.1,0,0,200000.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Universal sweepstakes,Base,1000000,0.1,50,2600,201431.22499413215,1431.2249941321497,1.7374687466071186,9980.458018091274,0.007428986220326623,0.005808434119556604,0.035780624853303744,0.032125937826474056,0.0679065626797778,56951.196922649244,6433.467748282148,1900.025623780183,1729.0,171.02562378018297
Universal sweepstakes,Base,1000000,0.1,100,5200,202802.94318664813,2802.943186648132,1.7722093049672676,19409.26299012592,0.01446818581340476,0.011538294086030099,0.0700735796662033,0.0624761684231521,0.1325497480893554,111165.4972300997,12557.76313398553,3708.741951540165,3458.0,250.7419515401648
Universal sweepstakes,Base,1000000,0.1,150,7800,204119.33037064635,4119.3303706463485,1.804633427070822,28360.56669818086,0.02117490498485141,0.017195823607820144,0.10298325926615871,0.09128937778384397,0.1942726370500027,162930.63251472576,18405.389634117255,5435.748384659076,5187.0,248.74838465907578
Universal sweepstakes,Base,1000000,0.1,200,10400,205384.10707396985,5384.107073969848,1.835062242356288,36892.62007150304,0.027594066442656637,0.022786573248895447,0.1346026768492462,0.1187530688996879,0.2533557457489341,212481.86328725854,24002.923352254013,7088.8937660551765,6916.0,172.89376605517646
Universal sweepstakes,Base,1000000,0.1,250,13000,206600.60539037196,6600.6053903719585,1.8637516789504842,45052.22516849218,0.03376165400501562,0.02831550270119694,0.16501513475929896,0.14501789217325808,0.3100330269325571,260015.39869752765,29372.52897159046,8674.724093572948,8645.0,29.724093572947822
Universal sweepstakes,Base,1000000,0.1,300,15600,207771.8236974608,7771.823697460786,1.890909410733419,52877.696714773425,0.039707013481413006,0.03378706445885517,0.19429559243651967,0.17020717826643808,0.3645027707029578,305697.5387054496,34532.99249639822,10198.78752426876,10374.0,-175.21247573123946
Universal sweepstakes,Base,1000000,0.1,400,20800,209989.00874392354,9989.008743923536,1.941285925217982,67648.7071250545,0.05102432471009697,0.0445737615315585,0.24972521859808838,0.2177533491149823,0.46747856771307067,392060.25038392097,44288.91950513631,13080.050324611719,13832.0,-751.9496753882813
Universal sweepstakes,Base,1000000,0.1,500,26000,212054.51412017795,12054.514120177948,1.9872560683622542,81406.62000893295,0.06169812899343834,0.05517449156196337,0.3013628530044487,0.2620384764236039,0.5634013294280527,472507.7929514249,53376.641950013705,15763.969197396913,17290.0,-1526.030802603087
Universal sweepstakes,Base,1000000,0.1,600,31200,213984.07474448092,13984.074744480924,2.0295911616392157,94300.18683294381,0.07183971120878488,0.06561235931582858,0.3496018686120231,0.30354137392578484,0.6531432425378079,547771.6432191833,61878.790798031914,18274.947926207864,20748.0,-2473.052073792136
