scenario,sensitivity,ai_model,annual_invites,affected_booking_base_share,weekly_payout,annual_prize_face_value,target_invites,baseline_completed_reviews,baseline_info_units,final_completion_rate,completed_reviews,additional_reviews,final_entries_per_completion,additional_info_units,expected_value_per_entry,expected_value_per_completion,guaranteed_equivalent_reward,bps_from_more_reviews,bps_from_better_reviews,total_uplift_bps,incremental_gross_bookings,incremental_revenue,incremental_ebitda,economic_cost,ranking_calls,input_tokens,output_tokens,annual_ai_cost,total_program_cost,net_incremental_ebitda_after_sweepstakes,net_incremental_ebitda,incremental_revenue_after_program_cost,revenue_to_program_cost_x,ebitda_to_program_cost_x,ai_cost_share_of_program_cost,cost_per_ranking_call,cost_per_1000_calls,payback_months_on_ebitda,layer
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,0,0,8797299.549924988,1451554.4257376231,2757953.4089014838,0.165,1451554.4257376231,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741865.3108851477,3832103683.9473248,783839389.8983165,1045.1191865310886,1045.1191865310886,0.0,-1045.1191865310886,-1045.1191865310886,0.0,0.0,1.0,0.0006000000000000001,0.6000000000000001,,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,500,26000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.16695237638908828,1468730.0656666334,17175.6399290103,1.9457716345611775,99859.89169982728,0.009097865138541189,0.017702367921636444,0.0079660655647364,0.04676350632546725,0.03633158529969882,0.08309509162516607,696893.6049327803,78724.28980568233,23250.006636721468,17290.0,1762476.07879996,3877447373.359912,793114235.459982,1057.4856472799759,18347.485647279977,5960.006636721468,4902.520989441491,60376.80415840236,4.2907399585486665,1.2672039691808283,0.0576365430996671,0.0006,0.6,9.469667308379158,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,1000,52000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.16878848943754396,1484882.902161424,33328.47642380092,1.9875267285905005,193291.04797137948,0.01761968578336583,0.03501959644380564,0.015758818399712538,0.09074226197710049,0.07032423205654745,0.16106649403364792,1350816.365511995,152594.39644747804,45066.40503061469,34580.0,1781859.482593709,3920090861.7061596,801836767.167169,1069.1156895562253,35649.11568955622,10486.40503061469,9417.289341058466,116945.2807579218,4.280453904560167,1.2641661415409908,0.029989963814710665,0.0006,0.6000000000000001,9.49242319160064,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,1500,78000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.1705203295341366,1500118.4182637206,48563.992526097456,2.0259774751113,281252.71650040615,0.025664596865632355,0.05199589515758323,0.023398152820912455,0.13222346189548723,0.10232693913811033,0.23455040103359756,1967103.8483484725,222213.0499392303,65627.2022092006,51870.0,1800142.1019164647,3960312624.2162223,810063945.8624091,1080.0852611498788,52950.08526114988,13757.202209200594,12677.116948050716,169262.9646780804,4.196651409403314,1.239416365158378,0.02039817794103441,0.0006,0.6,9.681976402229113,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,2000,104000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.1721579901468509,1514525.409234882,62970.983497258974,2.0616566090325312,364477.9105953099,0.03330737792393156,0.06866837582641773,0.03090076912188798,0.17144886579283605,0.13260639555322495,0.304055261346061,2550020.2603310095,288061.95459925814,85074.66212462787,69160.0,1817430.4910818585,3998347080.380089,817843720.9868363,1090.458294649115,70250.45829464911,15914.662124627866,14824.203829978753,217811.49630460903,4.1004992934145665,1.2110193184477474,0.01552243673735825,0.0006,0.6,9.909007905324982,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,2500,130000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.17371006420022245,1528179.4696060577,76625.04386843462,2.094973948854825,443542.7690979908,0.0406060144295513,0.08506854239673309,0.03828084407852989,0.20862429222089673,0.16137221536337942,0.36999650758427616,3103049.710157049,350534.6912853432,103525.02282208047,86450.0,1833815.3635272693,4034393799.7599926,825216913.5872712,1100.2892181163616,87550.28921811636,17075.02282208047,15974.733603964109,262984.4020672268,4.003809632336528,1.1824635160732118,0.01256751094648222,0.0006,0.6,10.148304651166104,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,3000,156000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.1751839398933993,1541145.595578288,89591.16984066484,2.1262520603662156,518910.5890211696,0.04760649209088177,0.1012234018950453,0.04555053085277039,0.2439267040335163,0.18879295788353223,0.4327196619170485,3629089.9885997106,409958.60770021175,121074.96140439018,103740.0,1849374.7146939456,4068624372.32668,832218621.6122755,1109.6248288163672,104849.62482881636,17334.961404390182,16225.33657557382,305108.9828713954,3.9099673305415656,1.154748637413479,0.010583011914711242,0.0006,0.6,10.391871972136546,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,4000,208000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.17792192285633637,1565232.4518658365,113678.02612821339,2.1836779522437357,660010.1863743477,0.06085494891972783,0.1328876102409284,0.059799424608417785,0.3095071342835059,0.24012860395452643,0.5496357382380324,4609630.045880906,520724.8984067119,153788.07955900146,138320.0,1878278.9422390037,4132213672.925808,845225524.0075517,1126.9673653434022,139446.96736534341,15468.07955900146,14341.112193658046,381277.93104136846,3.734214578094346,1.102842768578001,0.008081691460459011,0.0006,0.6,10.880970834557615,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,5000,260000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.1804143158216877,1587158.779378158,135604.35364053492,2.2354954095396122,790132.7566088829,0.07327894190602355,0.16381473824683557,0.07371663221107601,0.3692051693817416,0.28747052651641763,0.6566756958981592,5507342.058789092,622134.5542939161,183737.85971230495,172900.0,1904590.5352537895,4190099177.5583367,857065740.8642052,1142.7543211522736,174042.7543211523,10837.859712304955,9695.105391152669,448091.7999727638,3.574607611333952,1.0557053088993453,0.006565940223191406,0.0006,0.6,11.366808425460066,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,6500,338000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.18376319584107703,1616619.8800654844,165065.4543278613,2.3050017937236404,968358.3144187545,0.09070631366793797,0.20907821570665616,0.09408519706799527,0.4494178644569347,0.3523135475325015,0.8017314119894362,6723880.8329318045,759560.3397187918,224324.44907464428,224770.0,1939943.8560785812,4267876483.3728786,872974735.2353616,1163.9663136471486,225933.96631364714,-445.55092535572476,-1609.5172390028602,533626.3734051447,3.361868744712565,0.9928761608302468,0.005151798698701645,0.0006,0.6,12.086099428518411,Full platform base
