scenario,sensitivity,ai_model,annual_invites,affected_booking_base_share,weekly_payout,annual_prize_face_value,target_invites,baseline_completed_reviews,baseline_info_units,final_completion_rate,completed_reviews,additional_reviews,final_entries_per_completion,additional_info_units,expected_value_per_entry,expected_value_per_completion,guaranteed_equivalent_reward,bps_from_more_reviews,bps_from_better_reviews,total_uplift_bps,incremental_gross_bookings,incremental_revenue,incremental_ebitda,economic_cost,ranking_calls,input_tokens,output_tokens,annual_ai_cost,total_program_cost,net_incremental_ebitda_after_sweepstakes,net_incremental_ebitda,incremental_revenue_after_program_cost,revenue_to_program_cost_x,ebitda_to_program_cost_x,ai_cost_share_of_program_cost,cost_per_ranking_call,cost_per_1000_calls,payback_months_on_ebitda,layer
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,0,0,351891.98199699953,58062.17702950493,110318.13635605936,0.165,58062.17702950493,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69674.61243540591,153284147.35789302,31353575.595932662,41.80476746124355,41.80476746124355,0.0,-41.80476746124355,-41.80476746124355,0.0,0.0,1.0,0.0006000000000000001,0.6000000000000001,,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,50,2600,351891.98199699953,58062.17702950493,110318.13635605936,0.1696667735295327,59704.37721634331,1642.2001868383813,2.007128437081993,9516.216973133545,0.02169661643566956,0.04354789583649293,0.019596553126421817,0.11177900669539309,0.08655608443105318,0.19833509112644626,166337.69087501668,18790.26653331952,5549.415849717967,1729.0,71645.25265961197,157619555.85114634,32240363.69682539,42.98715159576719,1771.9871515957673,3820.415849717967,3777.4286981221994,17018.27938172375,10.604064773493363,3.131747227806041,0.02425929079511384,0.0006000000000000001,0.6000000000000001,3.831726869095579,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,100,5200,351891.98199699953,58062.17702950493,110318.13635605936,0.17371006420022245,61127.17878424231,3065.001754737379,2.094973948854825,17741.71076391962,0.0406060144295513,0.08506854239673309,0.03828084407852989,0.20862429222089637,0.16137221536337926,0.3699965075842756,310304.97101570445,35053.46912853427,10352.502282208034,3458.0,73352.61454109076,161375751.9903997,33008676.543490842,44.01156872465446,3502.0115687246544,6894.502282208034,6850.490713483379,31551.457559809616,10.009524080841308,2.9561587901830255,0.012567510946482218,0.0006000000000000001,0.6000000000000001,4.059321860466447,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,150,7800,351891.98199699953,58062.17702950493,110318.13635605936,0.17726192515452904,62377.050175231016,4314.873145726087,2.1698983676425754,25033.722997533434,0.05762757923866641,0.1250459901211754,0.05627069555452893,0.2936988060965039,0.22769773403817217,0.5213965401346761,437279.6363147488,49397.10821235921,14588.675192968238,5187.0,74852.46021027722,164675412.4626099,33683607.09462475,44.91147612616633,5231.911476126166,9401.675192968238,9356.763716842072,44165.19673623305,9.441503060165312,2.7884025292740704,0.00858414297166585,0.0006,0.6,4.303539346998106,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,200,10400,351891.98199699953,58062.17702950493,110318.13635605936,0.1804143158216877,63486.35117512632,5424.174145621393,2.2354954095396122,31605.310264355285,0.07327894190602356,0.1638147382468356,0.07371663221107602,0.3692051693817413,0.2874705265164174,0.6566756958981588,550734.2058789089,62213.455429391564,18373.785971230485,6916.0,76183.62141015158,167603967.1023335,34282629.634568214,45.71017284609095,6961.710172846091,11457.785971230485,11412.075798384394,55251.74525654547,8.936519028334875,2.639263272248362,0.0065659402231914065,0.0006000000000000001,0.6000000000000001,4.546723370184028,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,250,13000,351891.98199699953,58062.17702950493,110318.13635605936,0.1832343706133727,64478.70584511248,6416.528815607555,2.2940082162519846,37596.54462592355,0.08788850378944803,0.20161694980708747,0.09072762741318936,0.43675139193707,0.3419646378539576,0.7787160297910276,653085.7727048411,73775.55666240196,21788.474513552952,8645.0,77374.44701413497,170223783.43109694,34818501.15636074,46.42466820848098,8691.424668208481,13143.474513552952,13097.04984534447,65084.13199419348,8.488315722537227,2.506893328230859,0.005341433652217371,0.0006,0.6,4.786801203252044,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,300,15600,351891.98199699953,58062.17702950493,110318.13635605936,0.1857729142790317,65371.99900700716,7309.82197750223,2.3469367819685547,43105.812624297585,0.10167904100811072,0.23863428129722408,0.10738542658375085,0.49755483303069886,0.39207495662525604,0.8896297896559549,746105.8156907597,84283.52627200517,24891.841514573618,10374.0,78446.39880840859,172582077.37849888,35300879.46378387,47.06783928504515,10421.067839285046,14517.841514573618,14470.773675288572,73862.45843272013,8.08780132437825,2.3886075686732466,0.004516604249289132,0.0006000000000000001,0.6000000000000001,5.0238474320272735,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,400,20800,351891.98199699953,58062.17702950493,110318.13635605936,0.19015587685966226,66914.32839652392,8852.151367018996,2.439978910159323,52951.41371893413,0.12739668842381252,0.3108452329782409,0.13988035484020842,0.6025359726865203,0.48162700047080687,1.0841629731573272,909254.9606978556,102713.60007692517,30334.879988942015,13832.0,80297.19407582871,176653826.96682316,36133737.33412292,48.17831644549723,13880.178316445497,16502.879988942015,16454.701672496518,88833.42176047967,7.40002021121214,2.185482008757818,0.0034710156704841934,0.0006000000000000001,0.6000000000000001,5.4907795863396505,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,500,26000,351891.98199699953,58062.17702950493,110318.13635605936,0.19379595614281697,68195.24311009946,10133.06608059453,2.5201913704493486,61546.926835708684,0.1512814734835843,0.38125826398219115,0.17156621879198602,0.6897235004267532,0.5598086940118672,1.2495321944386204,1047945.1655098377,118380.68010111488,34961.9108003926,17290.0,81834.29173211935,180035441.81066257,36825431.27945371,49.10057503927161,17339.100575039272,17671.9108003926,17622.81022535333,101041.5795260756,6.827382976919306,2.0163624202470154,0.0028317832765763513,0.0006,0.6000000000000001,5.951311073596549,Pilot
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,600,31200,351891.98199699953,58062.17702950493,110318.13635605936,0.1968512317307118,69270.37009227082,11208.193062765895,2.5908653308292346,69152.0639697154,0.17384501685163153,0.4504090270983162,0.2026840621942423,0.762903754029025,0.6289822840780954,1.3918860381071205,1167333.0635792988,131867.2832502686,38944.97134623724,20748.0,83124.44411072499,182873777.043595,37405999.84982625,49.874666466435,20797.874666466436,18196.97134623724,18147.096679770802,111069.40858380217,6.340421094222936,1.8725457274261956,0.0023980655363237996,0.0006000000000000002,0.6000000000000001,6.408388230120253,Pilot
