scenario,sensitivity,annual_invites,affected_booking_base_share,weekly_payout,annual_prize_face_value,completed_reviews,additional_reviews,final_entries_per_completion,additional_info_units,expected_value_per_entry,guaranteed_equivalent_reward,bps_from_more_reviews,bps_from_better_reviews,total_uplift_bps,incremental_gross_bookings,incremental_revenue,incremental_ebitda,economic_cost,net_incremental_ebitda
Moderate-rating targeted,Conservative,1000000,0.06,0,0,58062.17702950493,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moderate-rating targeted,Conservative,1000000,0.06,50,2600,58905.63731973774,843.4602902328115,1.973178543440427,5913.203290930804,0.022369182080293846,0.015448436540301768,0.04018804036767369,0.035856245869745895,0.07604428623741959,38265.63692324201,4322.661406879879,1276.6314773538002,2165.7999999999997,-889.1685226461996
Moderate-rating targeted,Conservative,1000000,0.06,100,5200,59678.6263268678,1616.449297362873,2.0366181108516535,11224.434851987899,0.042783363461178045,0.030496680503864428,0.07701836158378737,0.0680622796140111,0.14508064119779845,73004.86881201458,8246.963968247655,2435.613804428641,4331.599999999999,-1895.9861955713586
Moderate-rating targeted,Conservative,1000000,0.06,150,7800,60390.53323577535,2328.3562062704223,2.092744250265219,16063.804843560109,0.06171767838001436,0.04520576079932257,0.11093832666632306,0.09740705802516716,0.20834538469149022,104839.81426752725,11843.185047403069,3497.702318200738,6497.4,-2999.6976817992618
Moderate-rating targeted,Conservative,1000000,0.06,200,10400,61048.88498614808,2986.7079566431494,2.1431504204353167,20518.807169111184,0.07948825247510645,0.05962434859909254,0.14230656892560584,0.12442112313945894,0.26672769206506475,134217.9081025247,15161.868927746538,4477.824494388307,8663.199999999999,-4185.375505611692
Moderate-rating targeted,Conservative,1000000,0.06,250,13000,61659.8275701665,3597.650540661569,2.188945305839596,24651.85376253548,0.09631770728127946,0.07379196762790612,0.17141592417703813,0.14948292594813756,0.3208988501251757,161476.94318068866,18241.174236515486,5387.24989590145,10829.0,-5441.75010409855
Moderate-rating targeted,Conservative,1000000,0.06,300,15600,62228.45822284943,4166.281193344505,2.230934164283951,28509.457084012,0.11236959176083504,0.08774120645006053,0.19850925849158046,0.17287450684895883,0.3713837653405393,186881.05348689004,21110.938757017615,6234.7906525369735,12994.8,-6760.009347463026
Moderate-rating targeted,Conservative,1000000,0.06,400,20800,63255.280272633565,5193.103243128637,2.3057747778046394,35534.29345954249,0.1426098970466039,0.11508920628638145,0.24743386877258366,0.21547142900485286,0.4629052977774365,232934.8716522016,26313.3887468606,7771.254139087605,17326.399999999998,-9555.145860912393
Moderate-rating targeted,Conservative,1000000,0.06,500,26000,64156.66809257272,6094.491063067791,2.3710767821716803,41802.249779734484,0.17091726270527927,0.14184028364548884,0.29038196071493855,0.2534788121202496,0.5438607728351881,273671.8286122123,30915.22177104343,9130.334654357139,21658.0,-12527.665345642861
Moderate-rating targeted,Conservative,1000000,0.06,600,31200,64953.089246947144,6890.9122174422155,2.429019528680289,47454.185872888935,0.19775331667315332,0.1681213338211354,0.3283287447808893,0.2877507963943327,0.616079541175222,310012.4572784541,35020.42543856432,10342.743337249629,25989.6,-15646.85666275037
Moderate-rating targeted,Conservative,1000000,0.06,650,33800,65317.02168166359,7254.844652158659,2.4557137718253355,50081.77332221593,0.21072331067888314,0.1811166476275667,0.34566889884250285,0.3036838561915204,0.6493527550340232,326755.6050386306,36911.80800715402,10901.334051511185,28155.399999999998,-17254.065948488813
