scenario,sensitivity,reward_amount,target_share,target_invites,social_only_completion_rate,final_completion_rate,completed_reviews,additional_reviews_vs_social_only,issued_face_value,redeemed_face_value,economic_cost,cost_per_additional_review,hotel_spend_equivalent_per_user,revenue_break_even_gross_bookings,ebitda_break_even_gross_bookings,required_repeat_booking_conversion
Universal reward,Base,0.0,1.0,1000000.0,0.19999999999999998,0.19999999999999998,199999.99999999997,0.0,0.0,0.0,0.0,,,0.0,0.0,
Universal reward,Base,0.25,1.0,1000000.0,0.19999999999999998,0.2099945373291607,209994.5373291607,9994.537329160725,52498.634332290174,41998.90746583214,29399.235226082496,2.9415303838333102,12.5,260251.81134746262,881210.0288441245,0.2938972226601718
Universal reward,Base,0.5,1.0,1000000.0,0.19999999999999998,0.21749180524772177,217491.80524772176,17491.805247721786,108745.90262386088,86996.72209908871,60897.705469362096,3.4814991710071603,25.0,539086.7494826885,1825342.3390275163,0.34784714197624195
Universal reward,Base,0.75,1.0,1000000.0,0.19999999999999998,0.22311578006431337,223115.78006431338,23115.78006431341,167336.83504823502,133869.46803858803,93708.62762701162,4.053881260606075,37.5,829539.9486166966,2808813.9646871276,0.40503557265100026
Universal reward,Base,1.0,1.0,1000000.0,0.19999999999999998,0.22733452922483785,227334.52922483784,27334.52922483787,227334.52922483784,181867.6233798703,127307.3363659092,4.657381706439991,50.0,1126966.8966645247,3815898.634381596,0.46533313268287185
Universal reward,Base,1.5,1.0,1000000.0,0.19999999999999998,0.23287307792908404,232873.07792908404,32873.07792908407,349309.61689362605,279447.69351490086,195613.38546043058,5.9505649541676755,75.0,1731634.7686732037,5863297.998002119,0.5945389933418875
Universal reward,Base,2.0,1.0,1000000.0,0.19999999999999998,0.23598964625108784,235989.64625108783,35989.64625108786,471979.29250217567,377583.43400174053,264308.4038012184,7.344012273897499,100.0,2339745.9258599095,7922356.290777977,0.7337625415474881
Universal reward,Base,3.0,1.0,1000000.0,0.19999999999999998,0.23873017454487727,238730.17454487729,38730.174544877314,716190.5236346319,572952.4189077056,401066.6932353939,10.35540629362956,150.0,3550375.803417013,12021536.941234017,1.034640051975018
Moderate-rating targeted,Base,0.0,0.3518919819969995,351891.98199699953,0.165,0.165,58062.17702950493,0.0,0.0,0.0,0.0,,,0.0,0.0,
Moderate-rating targeted,Base,0.25,0.3518919819969995,351891.98199699953,0.165,0.18124215506547076,63777.66116739603,5715.4841378911005,15944.415291849007,12755.532233479207,8928.872563435445,1.5622250623076737,12.5,79041.3505676209,267633.22204347403,0.15608664438951353
Moderate-rating targeted,Base,0.5,0.3518919819969995,351891.98199699953,0.165,0.19268780829147247,67805.29476634413,9743.117736839202,33902.647383172065,27122.117906537653,18985.482534576357,1.9486044454529503,25.0,168065.80786650995,569069.1435765958,0.19469098049416556
Moderate-rating targeted,Base,0.75,0.3518919819969995,351891.98199699953,0.165,0.20075342379888644,70643.52019327377,12581.34316376884,52982.64014495532,42386.112115964264,29670.278481174984,2.358275908618251,37.5,262651.176417638,889334.2549609372,0.2356224989612662
Moderate-rating targeted,Base,1.0,0.3518919819969995,351891.98199699953,0.165,0.20643716698321166,72643.5838475679,14581.406818062977,72643.5838475679,58114.867078054325,40680.40695463803,2.789882174074209,50.0,360116.49673470843,1219350.8542046559,0.2787455900560897
Moderate-rating targeted,Base,1.5,0.3518919819969995,351891.98199699953,0.165,0.21326489644608598,75046.20710079806,16984.030071293128,112569.31065119708,90055.44852095767,63038.813964670364,3.711652281587766,75.0,558040.5542299988,1889519.7322283806,0.37084243733609856
Moderate-rating targeted,Base,2.0,0.3518919819969995,351891.98199699953,0.165,0.21665544655561303,76239.31449889968,18177.13746939475,152478.62899779936,121982.9031982395,85388.03223876764,4.697551106852625,100.0,755883.2699776996,2559413.1879087654,0.4693465793166656
Moderate-rating targeted,Base,3.0,0.3518919819969995,351891.98199699953,0.165,0.21917524327487373,77126.01076066986,19063.83373116493,231378.03228200958,185102.42582560767,129571.69807792536,6.796728292174821,150.0,1147011.7798924812,3883770.4083993444,0.6790817389561897
