scenario,sensitivity,reward_amount,target_share,target_invites,social_only_completion_rate,final_completion_rate,completed_reviews,additional_reviews_vs_social_only,issued_face_value,redeemed_face_value,economic_cost,cost_per_additional_review,hotel_spend_equivalent_per_user,revenue_break_even_gross_bookings,ebitda_break_even_gross_bookings,required_repeat_booking_conversion
Moderate-rating targeted,Conservative,0.0,0.3518919819969995,351891.98199699953,0.165,0.165,58062.17702950493,0.0,0.0,0.0,0.0,,,0.0,0.0,
Moderate-rating targeted,Conservative,0.25,0.3518919819969995,351891.98199699953,0.165,0.17799372405237662,62634.564339817814,4572.387310312886,15658.641084954454,14092.776976459008,14092.776976459008,3.082148562671662,12.5,124753.95046281272,422415.6278358426,0.30794681141956665
Moderate-rating targeted,Conservative,0.5,0.3518919819969995,351891.98199699953,0.165,0.187150246633178,65856.67121897629,7794.494189471363,32928.335609488146,29635.502048539332,29635.502048539332,3.8021071448831587,25.0,262343.32386582735,888291.8693012323,0.3798800570882962
Moderate-rating targeted,Conservative,0.75,0.3518919819969995,351891.98199699953,0.165,0.19360273903910918,68127.25156052,10065.074531015074,51095.43867039,45985.894803351,45985.894803351,4.568857852134879,37.5,407082.44030743494,1378377.0691467614,0.45648844589587306
Moderate-rating targeted,Conservative,1.0,0.3518919819969995,351891.98199699953,0.165,0.19814973358656934,69727.30248395531,11665.125454450383,69727.30248395531,62754.57223555978,62754.57223555978,5.379674010416937,50.0,555524.3518766827,1880999.8962400614,0.5374995475716431
Moderate-rating targeted,Conservative,1.5,0.3518919819969995,351891.98199699953,0.165,0.2036119171568688,71649.40108653944,13587.22405703451,107474.10162980916,96726.69146682824,96726.69146682824,7.118944315689705,75.0,856256.8538366565,2899277.1384018883,0.7112753191850709
Moderate-rating targeted,Conservative,2.0,0.3518919819969995,351891.98199699953,0.165,0.20632435724449041,72603.88700502072,14541.70997551579,145207.77401004144,130686.99660903729,130686.99660903729,8.987044634302153,100.0,1156884.7735497288,3917200.2661222764,0.8979228881880136
Moderate-rating targeted,Conservative,3.0,0.3518919819969995,351891.98199699953,0.165,0.208340194619899,73313.24401443687,15251.066984931946,219939.73204331062,197945.75883897956,197945.75883897956,12.979141658386917,150.0,1752281.7138007917,5933208.3475870965,1.2967854103692347
Moderate-rating targeted,Base,0.0,0.3518919819969995,351891.98199699953,0.165,0.165,58062.17702950493,0.0,0.0,0.0,0.0,,,0.0,0.0,
Moderate-rating targeted,Base,0.25,0.3518919819969995,351891.98199699953,0.165,0.18124215506547076,63777.66116739603,5715.4841378911005,15944.415291849007,12755.532233479207,8928.872563435445,1.5622250623076737,12.5,79041.3505676209,267633.22204347403,0.15608664438951353
Moderate-rating targeted,Base,0.5,0.3518919819969995,351891.98199699953,0.165,0.19268780829147247,67805.29476634413,9743.117736839202,33902.647383172065,27122.117906537653,18985.482534576357,1.9486044454529503,25.0,168065.80786650995,569069.1435765958,0.19469098049416556
Moderate-rating targeted,Base,0.75,0.3518919819969995,351891.98199699953,0.165,0.20075342379888644,70643.52019327377,12581.34316376884,52982.64014495532,42386.112115964264,29670.278481174984,2.358275908618251,37.5,262651.176417638,889334.2549609372,0.2356224989612662
Moderate-rating targeted,Base,1.0,0.3518919819969995,351891.98199699953,0.165,0.20643716698321166,72643.5838475679,14581.406818062977,72643.5838475679,58114.867078054325,40680.40695463803,2.789882174074209,50.0,360116.49673470843,1219350.8542046559,0.2787455900560897
Moderate-rating targeted,Base,1.5,0.3518919819969995,351891.98199699953,0.165,0.21326489644608598,75046.20710079806,16984.030071293128,112569.31065119708,90055.44852095767,63038.813964670364,3.711652281587766,75.0,558040.5542299988,1889519.7322283806,0.37084243733609856
Moderate-rating targeted,Base,2.0,0.3518919819969995,351891.98199699953,0.165,0.21665544655561303,76239.31449889968,18177.13746939475,152478.62899779936,121982.9031982395,85388.03223876764,4.697551106852625,100.0,755883.2699776996,2559413.1879087654,0.4693465793166656
Moderate-rating targeted,Base,3.0,0.3518919819969995,351891.98199699953,0.165,0.21917524327487373,77126.01076066986,19063.83373116493,231378.03228200958,185102.42582560767,129571.69807792536,6.796728292174821,150.0,1147011.7798924812,3883770.4083993444,0.6790817389561897
Moderate-rating targeted,Optimistic,0.0,0.3518919819969995,351891.98199699953,0.165,0.165,58062.17702950493,0.0,0.0,0.0,0.0,,,0.0,0.0,
Moderate-rating targeted,Optimistic,0.25,0.3518919819969995,351891.98199699953,0.165,0.18367847832529138,64634.983788079706,6572.806758574778,16158.745947019926,10503.184865562953,5776.7516760596245,0.878886583501541,12.5,51137.72776188437,173151.83445893228,0.08781222432514145
Moderate-rating targeted,Optimistic,0.5,0.3518919819969995,351891.98199699953,0.165,0.19684097953519336,69266.76242687002,11204.585397365088,34633.38121343501,22511.697788732756,12381.433783803017,1.1050327472817227,25.0,109604.57115750556,371119.9811101528,0.11040717347662168
Moderate-rating targeted,Optimistic,0.75,0.3518919819969995,351891.98199699953,0.165,0.20611643736871943,72530.7216678391,14468.54463833417,54398.04125087932,35358.72681307156,19447.29974718936,1.3441089088991067,37.5,172153.96747915665,582911.6111141994,0.13429399793023752
Moderate-rating targeted,Optimistic,1.0,0.3518919819969995,351891.98199699953,0.165,0.2126527420306934,74830.79487027734,16768.617840772415,74830.79487027734,48640.016665680276,26752.009166124153,1.595361610607966,50.0,236817.68553254532,801862.3133435791,0.1593974174372865
